Date,SP500,IBM
2021-12-06,4591.669921875,119.91000366210938
2021-12-07,4686.75,121.58000183105469
2021-12-08,4701.2099609375,123.0199966430664
2021-12-09,4667.4501953125,123.56999969482422
2021-12-10,4712.02001953125,124.08999633789062
2021-12-13,4668.97021484375,122.58000183105469
2021-12-14,4634.08984375,123.76000213623047
2021-12-15,4709.85009765625,123.11000061035156
2021-12-16,4668.669921875,125.93000030517578
2021-12-17,4620.64013671875,127.4000015258789
2021-12-20,4568.02001953125,127.05999755859375
2021-12-21,4649.22998046875,128.97000122070312
2021-12-22,4696.56005859375,129.75
2021-12-23,4725.7900390625,130.6300048828125
2021-12-27,4791.18994140625,131.6199951171875
2021-12-28,4786.35009765625,132.6300048828125
2021-12-29,4793.06005859375,133.35000610351562
2021-12-30,4778.72998046875,133.91000366210938
2021-12-31,4766.18017578125,133.66000366210938
2022-01-03,4796.56005859375,136.0399932861328
2022-01-04,4793.5400390625,138.02000427246094
2022-01-05,4700.580078125,138.22000122070312
2022-01-06,4696.0498046875,135.33999633789062
2022-01-07,4677.02978515625,134.8300018310547
2022-01-10,4670.2900390625,135.02999877929688
2022-01-11,4713.06982421875,132.8699951171875
2022-01-12,4726.35009765625,133.58999633789062
2022-01-13,4659.02978515625,134.75999450683594
2022-01-14,4662.85009765625,134.2100067138672
2022-01-18,4577.10986328125,132.94000244140625
2022-01-19,4532.759765625,131.5800018310547
2022-01-20,4482.72998046875,130.82000732421875
2022-01-21,4397.93994140625,129.35000610351562
2022-01-24,4410.1298828125,128.82000732421875
2022-01-25,4356.4501953125,136.10000610351562
2022-01-26,4349.93017578125,134.25999450683594
2022-01-27,4326.509765625,132.52000427246094
2022-01-28,4431.85009765625,134.5
2022-01-31,4515.5498046875,133.57000732421875
2022-02-01,4546.5400390625,135.52999877929688
2022-02-02,4589.3798828125,137.25
2022-02-03,4477.43994140625,137.77999877929688
2022-02-04,4500.52978515625,137.14999389648438
2022-02-07,4483.8701171875,137.24000549316406
2022-02-08,4521.5400390625,137.02000427246094
2022-02-09,4587.18017578125,137.7899932861328
2022-02-10,4504.080078125,133.52000427246094
2022-02-11,4418.64013671875,132.69000244140625
2022-02-14,4401.669921875,130.14999389648438
2022-02-15,4471.06982421875,129.94000244140625
2022-02-16,4475.009765625,129.17999267578125
2022-02-17,4380.259765625,124.97000122070312
2022-02-18,4348.8701171875,124.3499984741211
